contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
89 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
2          39         571        22         11         376191     604            ------------------- 94.54  
5          39         492        12         100        346602     604            ----------------- 81.46    
10         39         368        0          236        286683     604            ------------- 60.93        
20         39         368        0          236        286683     604            ------------- 60.93        
50         39         368        0          236        286683     604            ------------- 60.93        
2          40         445        59         100        346778     604            --------------- 73.68      
5          40         287        33         284        284147     604            ---------- 47.52           
10         40         0          0          604        182710     604             0.00                      
20         40         0          0          604        182710     604             0.00                      
50         40         0          0          604        182710     604             0.00                      
2          42         0          72         15         7159       87              0.00                      
5          42         1          42         44         5779       87             - 1.15                     
10         42         0          0          87         3828       87              0.00                      
20         42         0          0          87         3828       87              0.00                      
50         42         0          0          87         3828       87              0.00                      
2          43         2          75         10         7698       87             - 2.30                     
5          43         0          43         44         6367       87              0.00                      
10         43         0          0          87         3828       87              0.00                      
20         43         0          0          87         3828       87              0.00                      
50         43         0          0          87         3828       87              0.00                      
2          44         42         45         0          7569       87             ---------- 48.28           
5          44         42         45         0          7569       87             ---------- 48.28           
10         44         42         45         0          7569       87             ---------- 48.28           
20         44         42         45         0          7569       87             ---------- 48.28           
50         44         42         45         0          7569       87             ---------- 48.28           
2          45         41         31         15         6874       87             ---------- 47.13           
5          45         21         22         44         5614       87             ----- 24.14                
10         45         0          0          87         3828       87              0.00                      
20         45         0          0          87         3828       87              0.00                      
50         45         0          0          87         3828       87              0.00                      
2          46         27         50         10         7154       87             ------- 31.03              
5          46         8          35         44         6755       87             -- 9.20                    
10         46         0          0          87         3828       87              0.00                      
20         46         0          0          87         3828       87              0.00                      
50         46         0          0          87         3828       87              0.00                      
2          47         26         43         18         6209       87             ------ 29.89               
5          47         14         23         50         4947       87             ---- 16.09                 
10         47         0          0          87         3828       87              0.00                      
20         47         0          0          87         3828       87              0.00                      
50         47         0          0          87         3828       87              0.00                      
2          49         42         30         15         7119       87             ---------- 48.28           
5          49         23         20         44         5901       87             ------ 26.44               
10         49         0          0          87         3828       87              0.00                      
20         49         0          0          87         3828       87              0.00                      
50         49         0          0          87         3828       87              0.00                      
2          50         42         30         15         7119       87             ---------- 48.28           
5          50         23         20         44         5901       87             ------ 26.44               
10         50         0          0          87         3828       87              0.00                      
20         50         0          0          87         3828       87              0.00                      
50         50         0          0          87         3828       87              0.00                      
2          51         42         30         15         7119       87             ---------- 48.28           
5          51         23         20         44         5901       87             ------ 26.44               
10         51         0          0          87         3828       87              0.00                      
20         51         0          0          87         3828       87              0.00                      
50         51         0          0          87         3828       87              0.00                      
2          52         37         40         10         7419       87             --------- 42.53            
5          52         8          35         44         4857       87             -- 9.20                    
10         52         0          0          87         3828       87              0.00                      
20         52         0          0          87         3828       87              0.00                      
50         52         0          0          87         3828       87              0.00                      
2          55         0          37         5          2483       42              0.00                      
5          55         0          23         19         1683       42              0.00                      
10         55         0          0          42         903        42              0.00                      
20         55         0          0          42         903        42              0.00                      
50         55         0          0          42         903        42              0.00                      
2          56         0          42         0          2411       42              0.00                      
5          56         0          23         19         1417       42              0.00                      
10         56         0          0          42         903        42              0.00                      
20         56         0          0          42         903        42              0.00                      
50         56         0          0          42         903        42              0.00                      
2          57         0          34         8          2571       42              0.00                      
5          57         0          17         25         1719       42              0.00                      
10         57         0          0          42         903        42              0.00                      
20         57         0          0          42         903        42              0.00                      
50         57         0          0          42         903        42              0.00                      
2          59         14         20         8          2044       42             ------- 33.33              
5          59         9          9          24         1430       42             ----- 21.43                
10         59         0          0          42         903        42              0.00                      
20         59         0          0          42         903        42              0.00                      
50         59         0          0          42         903        42              0.00                      
2          60         16         26         0          2826       42             -------- 38.10             
5          60         11         10         21         1656       42             ------ 26.19               
10         60         0          0          42         903        42              0.00                      
20         60         0          0          42         903        42              0.00                      
50         60         0          0          42         903        42              0.00                      
2          61         2          40         0          1913       42             - 4.76                     
5          61         4          38         0          1913       42             -- 9.52                    
10         61         0          42         0          1913       42              0.00                      
20         61         0          42         0          1913       42              0.00                      
50         61         0          42         0          1913       42              0.00                      
2          63         165        65         43         68030      273            ------------- 60.44        
5          63         79         59         135        54915      273            ------ 28.94               
10         63         0          0          273        37401      273             0.00                      
20         63         0          0          273        37401      273             0.00                      
50         63         0          0          273        37401      273             0.00                      
2          64         211        62         0          71903      273            ---------------- 77.29     
5          64         195        78         0          71533      273            --------------- 71.43      
10         64         196        77         0          71656      273            --------------- 71.79      
20         64         196        77         0          71656      273            --------------- 71.79      
50         64         196        77         0          71656      273            --------------- 71.79      
2          65         59         45         169        50777      273            ----- 21.61                
5          65         0          0          273        37401      273             0.00                      
10         65         0          0          273        37401      273             0.00                      
20         65         0          0          273        37401      273             0.00                      
50         65         0          0          273        37401      273             0.00                      
2          66         178        86         9          73532      273            -------------- 65.20       
5          66         125        105        43         69009      273            ---------- 45.79           
10         66         105        88         80         62110      273            -------- 38.46             
20         66         48         46         179        51297      273            ---- 17.58                 
50         66         0          0          273        37401      273             0.00                      
2          67         213        60         0          74059      273            ---------------- 78.02     
5          67         197        76         0          72871      273            --------------- 72.16      
10         67         196        77         0          72114      273            --------------- 71.79      
20         67         196        77         0          72114      273            --------------- 71.79      
50         67         196        77         0          72114      273            --------------- 71.79      
2          68         125        95         53         66382      273            ---------- 45.79           
5          68         82         56         135        57565      273            ------- 30.04              
10         68         0          0          273        37401      273             0.00                      
20         68         0          0          273        37401      273             0.00                      
50         68         0          0          273        37401      273             0.00                      
2          69         59         45         169        50777      273            ----- 21.61                
5          69         0          0          273        37401      273             0.00                      
10         69         0          0          273        37401      273             0.00                      
