aggregate data per location for magnitude = 0.002
SERN
89 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
188        0          0          1          1586       3           0,00                      
189        1          0          0          3900       5          -------------------- 100,00
191        1          0          0          1819       3          -------------------- 100,00
192        1          0          0          1738       3          -------------------- 100,00
195        1          0          0          672        0          -------------------- 100,00
196        1          0          0          672        0          -------------------- 100,00
197        1          0          0          672        0          -------------------- 100,00
198        1          0          0          672        0          -------------------- 100,00
202        1          0          0          1          0          -------------------- 100,00
203        1          0          0          1          0          -------------------- 100,00
205        1          0          0          638        0          -------------------- 100,00
206        1          0          0          638        0          -------------------- 100,00
208        1          0          0          37         0          -------------------- 100,00
209        1          0          0          37         0          -------------------- 100,00
212        1          0          0          637        0          -------------------- 100,00
213        1          0          0          637        0          -------------------- 100,00
214        1          0          0          637        0          -------------------- 100,00
215        1          0          0          637        0          -------------------- 100,00
217        1          0          0          182        0          -------------------- 100,00
218        1          0          0          182        0          -------------------- 100,00
219        1          0          0          182        0          -------------------- 100,00
220        1          0          0          182        0          -------------------- 100,00
222        1          0          0          455        0          -------------------- 100,00
223        1          0          0          4306       5          -------------------- 100,00
224        1          0          0          4306       5          -------------------- 100,00
226        0          0          1          1586       3           0,00                      
227        1          0          0          4179       5          -------------------- 100,00
228        1          0          0          3900       5          -------------------- 100,00
230        1          0          0          455        0          -------------------- 100,00
231        1          0          0          455        0          -------------------- 100,00
232        1          0          0          455        0          -------------------- 100,00
233        1          0          0          455        0          -------------------- 100,00
234        1          0          0          455        0          -------------------- 100,00
235        1          0          0          455        0          -------------------- 100,00
237        1          0          0          455        0          -------------------- 100,00
238        1          0          0          455        0          -------------------- 100,00
239        1          0          0          455        0          -------------------- 100,00
240        1          0          0          455        0          -------------------- 100,00
243        1          0          0          406        0          -------------------- 100,00
244        1          0          0          406        0          -------------------- 100,00
245        1          0          0          406        0          -------------------- 100,00
247        1          0          0          406        0          -------------------- 100,00
248        1          0          0          406        0          -------------------- 100,00
249        1          0          0          406        0          -------------------- 100,00
251        1          0          0          1565       2          -------------------- 100,00
252        1          0          0          1565       2          -------------------- 100,00
253        0          0          1          1238       2           0,00                      
254        1          0          0          1594       3          -------------------- 100,00
255        1          0          0          1565       2          -------------------- 100,00
256        0          1          0          2692       5           0,00                      
257        0          0          1          1238       2           0,00                      
258        1          0          0          1565       2          -------------------- 100,00
259        0          1          0          2692       5           0,00                      
260        0          1          0          2692       5           0,00                      
261        0          1          0          2692       5           0,00                      
262        1          0          0          1          0          -------------------- 100,00
263        1          0          0          1          0          -------------------- 100,00
264        1          0          0          1          0          -------------------- 100,00
265        1          0          0          1          0          -------------------- 100,00
266        1          0          0          1          0          -------------------- 100,00
267        1          0          0          1          0          -------------------- 100,00
268        1          0          0          1          0          -------------------- 100,00
269        1          0          0          10         0          -------------------- 100,00
270        1          0          0          10         0          -------------------- 100,00
272        1          0          0          9          0          -------------------- 100,00
273        1          0          0          90         0          -------------------- 100,00
274        1          0          0          90         0          -------------------- 100,00
276        1          0          0          81         0          -------------------- 100,00
277        1          0          0          81         0          -------------------- 100,00
278        1          0          0          81         0          -------------------- 100,00
279        1          0          0          81         0          -------------------- 100,00
280        1          0          0          81         0          -------------------- 100,00
282        1          0          0          32         0          -------------------- 100,00
283        1          0          0          32         0          -------------------- 100,00
284        1          0          0          32         0          -------------------- 100,00
286        1          0          0          893        0          -------------------- 100,00
287        1          0          0          893        0          -------------------- 100,00
288        1          0          0          893        0          -------------------- 100,00
289        1          0          0          893        0          -------------------- 100,00
291        1          0          0          893        0          -------------------- 100,00
292        1          0          0          893        0          -------------------- 100,00
293        1          0          0          893        0          -------------------- 100,00
294        1          0          0          893        0          -------------------- 100,00
296        1          0          0          893        0          -------------------- 100,00
297        1          0          0          893        0          -------------------- 100,00
298        1          0          0          893        0          -------------------- 100,00
299        1          0          0          893        0          -------------------- 100,00
300        1          0          0          893        0          -------------------- 100,00
301        1          0          0          893        0          -------------------- 100,00
