aggregate data per location for magnitude = 0.09
SERN
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        0          0          1          92         12          0,00                      
304        0          0          1          47         5           0,00                      
305        0          0          1          89         12          0,00                      
306        0          0          1          89         12          0,00                      
307        0          0          1          92         12          0,00                      
308        0          0          1          89         12          0,00                      
309        0          0          1          91         12          0,00                      
310        0          0          1          89         12          0,00                      
311        0          0          1          89         12          0,00                      
312        0          0          1          94         12          0,00                      
313        0          0          1          303        34          0,00                      
314        0          0          1          312        34          0,00                      
316        0          0          1          351        38          0,00                      
317        0          0          1          420        42          0,00                      
318        0          0          1          434        43          0,00                      
320        0          0          1          501        51          0,00                      
321        0          0          1          470        47          0,00                      
322        0          0          1          471        47          0,00                      
324        0          0          1          216        22          0,00                      
325        0          0          1          209        22          0,00                      
327        0          0          1          189        21          0,00                      
328        0          0          1          187        20          0,00                      
329        0          0          1          89         12          0,00                      
330        0          0          1          94         12          0,00                      
332        0          0          1          44         3           0,00                      
333        0          0          1          45         4           0,00                      
334        0          0          1          89         12          0,00                      
335        0          0          1          96         12          0,00                      
337        0          0          1          43         3           0,00                      
338        0          0          1          43         3           0,00                      
339        0          0          1          187        20          0,00                      
340        0          0          1          182        20          0,00                      
341        0          0          1          184        20          0,00                      
342        0          0          1          143        17          0,00                      
343        0          0          1          181        20          0,00                      
344        0          0          1          137        16          0,00                      
345        0          0          1          182        20          0,00                      
