aggregate data per location for magnitude = 0.002
SERN
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        66         25         0          0          0          --------------- 72,53      
304        83         0          8          0          0          ------------------- 91,21  
305        88         0          3          0          0          -------------------- 96,70 
306        90         0          1          0          0          -------------------- 98,90 
307        91         0          0          0          0          -------------------- 100,00
308        90         0          1          0          0          -------------------- 98,90 
309        91         0          0          0          0          -------------------- 100,00
310        88         0          3          0          0          -------------------- 96,70 
311        88         0          3          0          0          -------------------- 96,70 
312        90         0          1          0          0          -------------------- 98,90 
313        303        0          0          0          0          -------------------- 100,00
314        303        0          0          0          0          -------------------- 100,00
316        265        147        9          0          0          ------------- 62,95        
317        421        0          0          0          0          -------------------- 100,00
318        419        0          2          0          0          -------------------- 99,52 
320        321        121        30         0          0          -------------- 68,01       
321        470        0          2          0          0          -------------------- 99,58 
322        472        0          0          0          0          -------------------- 100,00
324        213        0          0          0          0          -------------------- 100,00
325        183        30         0          0          0          ------------------ 85,92   
327        2          176        5          0          0          - 1,09                     
328        1          166        16         0          0          - 0,55                     
329        71         20         0          0          0          ---------------- 78,02     
330        91         0          0          0          0          -------------------- 100,00
332        14         32         0          0          0          ------- 30,43              
333        45         0          1          0          0          -------------------- 97,83 
334        77         14         0          0          0          ----------------- 84,62    
335        91         0          0          0          0          -------------------- 100,00
337        15         28         2          0          0          ------- 33,33              
338        39         0          6          0          0          ------------------ 86,67   
339        2          177        4          0          0          - 1,09                     
340        3          180        0          0          0          - 1,64                     
341        2          177        4          0          0          - 1,09                     
342        34         133        16         0          0          ---- 18,58                 
343        36         146        1          0          0          ---- 19,67                 
344        1          167        15         0          0          - 0,55                     
345        3          180        0          0          0          - 1,64                     
