SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
15 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
aggregate data per location for magnitude = 0.05
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
1          20         0          0          20         0          -------------------- 100,00
2          20         0          0          20         0          -------------------- 100,00
3          20         0          0          20         0          -------------------- 100,00
20         20         0          0          179        9          -------------------- 100,00
34         20         0          0          20         0          -------------------- 100,00
64         20         0          0          3840       188        -------------------- 100,00
79         20         0          0          3840       188        -------------------- 100,00
21         19         0          1          180        9          ------------------- 95,00  
29         19         1          0          160        8          ------------------- 95,00  
36         19         1          0          79         5          ------------------- 95,00  
37         17         0          3          80         5          ----------------- 85,00    
43         16         4          0          3895       192        ---------------- 80,00     
44         15         0          5          3575       174        --------------- 75,00      
46         4          15         1          3840       188        ---- 20,00                 
49         20         0          0          3840       188        -------------------- 100,00
