aggregate data per location for magnitude = 0.001
SERN
164 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbation  #Task      AvgPerturbationPerTask %Success                   
0          20         0          0          20         0              20         0,00                   -------------------- 100,00
1          20         0          0          20         0              20         0,00                   -------------------- 100,00
2          20         0          0          20         0              20         0,00                   -------------------- 100,00
3          20         0          0          20         0              20         0,00                   -------------------- 100,00
4          20         0          0          20         0              20         0,00                   -------------------- 100,00
5          20         0          0          20         0              20         0,00                   -------------------- 100,00
6          20         0          0          20         0              20         0,00                   -------------------- 100,00
7          20         0          0          20         0              20         0,00                   -------------------- 100,00
8          20         0          0          20         0              20         0,00                   -------------------- 100,00
9          20         0          0          20         0              20         0,00                   -------------------- 100,00
10         20         0          0          20         0              20         0,00                   -------------------- 100,00
11         20         0          0          20         0              20         0,00                   -------------------- 100,00
12         20         0          0          20         0              20         0,00                   -------------------- 100,00
13         20         0          0          20         0              20         0,00                   -------------------- 100,00
14         20         0          0          20         0              20         0,00                   -------------------- 100,00
15         20         0          0          20         0              20         0,00                   -------------------- 100,00
16         20         0          0          20         0              20         0,00                   -------------------- 100,00
17         20         0          0          20         0              20         0,00                   -------------------- 100,00
18         20         0          0          20         0              20         0,00                   -------------------- 100,00
19         20         0          0          20         0              20         0,00                   -------------------- 100,00
20         20         0          0          180        0              20         0,00                   -------------------- 100,00
21         20         0          0          180        0              20         0,00                   -------------------- 100,00
23         20         0          0          160        0              20         0,00                   -------------------- 100,00
24         20         0          0          160        0              20         0,00                   -------------------- 100,00
25         20         0          0          160        0              20         0,00                   -------------------- 100,00
26         20         0          0          160        0              20         0,00                   -------------------- 100,00
27         20         0          0          160        0              20         0,00                   -------------------- 100,00
28         20         0          0          160        0              20         0,00                   -------------------- 100,00
29         20         0          0          160        0              20         0,00                   -------------------- 100,00
30         20         0          0          20         0              20         0,00                   -------------------- 100,00
31         20         0          0          20         0              20         0,00                   -------------------- 100,00
32         20         0          0          20         0              20         0,00                   -------------------- 100,00
33         20         0          0          20         0              20         0,00                   -------------------- 100,00
34         20         0          0          20         0              20         0,00                   -------------------- 100,00
35         20         0          0          20         0              20         0,00                   -------------------- 100,00
36         20         0          0          80         0              20         0,00                   -------------------- 100,00
37         20         0          0          80         0              20         0,00                   -------------------- 100,00
39         20         0          0          60         0              20         0,00                   -------------------- 100,00
40         20         0          0          60         0              20         0,00                   -------------------- 100,00
41         20         0          0          60         0              20         0,00                   -------------------- 100,00
42         20         0          0          60         0              20         0,00                   -------------------- 100,00
43         20         0          0          3900       2              20         0,10                   -------------------- 100,00
44         20         0          0          3900       2              20         0,10                   -------------------- 100,00
46         20         0          0          3840       2              20         0,10                   -------------------- 100,00
47         18         2          0          3840       2              20         0,10                   ------------------ 90,00   
48         18         2          0          3840       2              20         0,10                   ------------------ 90,00   
49         20         0          0          3840       2              20         0,10                   -------------------- 100,00
50         20         0          0          3840       2              20         0,10                   -------------------- 100,00
52         18         2          0          2990       2              20         0,10                   ------------------ 90,00   
53         18         2          0          2990       2              20         0,10                   ------------------ 90,00   
54         20         0          0          850        0              20         0,00                   -------------------- 100,00
55         20         0          0          850        0              20         0,00                   -------------------- 100,00
56         20         0          0          850        0              20         0,00                   -------------------- 100,00
57         20         0          0          850        0              20         0,00                   -------------------- 100,00
58         18         2          0          3840       2              20         0,10                   ------------------ 90,00   
59         19         1          0          3840       2              20         0,10                   ------------------- 95,00  
60         20         0          0          3840       2              20         0,10                   -------------------- 100,00
61         20         0          0          3840       2              20         0,10                   -------------------- 100,00
62         19         1          0          3840       2              20         0,10                   ------------------- 95,00  
63         19         1          0          3840       2              20         0,10                   ------------------- 95,00  
64         20         0          0          3840       2              20         0,10                   -------------------- 100,00
65         19         1          0          3840       2              20         0,10                   ------------------- 95,00  
66         20         0          0          3840       2              20         0,10                   -------------------- 100,00
67         20         0          0          3840       2              20         0,10                   -------------------- 100,00
68         20         0          0          60         0              20         0,00                   -------------------- 100,00
69         20         0          0          60         0              20         0,00                   -------------------- 100,00
70         20         0          0          60         0              20         0,00                   -------------------- 100,00
71         20         0          0          60         0              20         0,00                   -------------------- 100,00
72         20         0          0          60         0              20         0,00                   -------------------- 100,00
73         20         0          0          3900       2              20         0,10                   -------------------- 100,00
74         20         0          0          3900       2              20         0,10                   -------------------- 100,00
76         20         0          0          3840       2              20         0,10                   -------------------- 100,00
77         18         2          0          3840       2              20         0,10                   ------------------ 90,00   
78         18         1          1          3835       2              20         0,10                   ------------------ 90,00   
79         20         0          0          3840       2              20         0,10                   -------------------- 100,00
80         19         1          0          3840       2              20         0,10                   ------------------- 95,00  
81         18         1          1          3835       2              20         0,10                   ------------------ 90,00   
82         20         0          0          960        0              20         0,00                   -------------------- 100,00
83         20         0          0          960        0              20         0,00                   -------------------- 100,00
84         20         0          0          960        0              20         0,00                   -------------------- 100,00
85         20         0          0          960        0              20         0,00                   -------------------- 100,00
86         20         0          0          960        0              20         0,00                   -------------------- 100,00
87         20         0          0          960        0              20         0,00                   -------------------- 100,00
88         20         0          0          960        0              20         0,00                   -------------------- 100,00
89         20         0          0          960        0              20         0,00                   -------------------- 100,00
90         20         0          0          960        0              20         0,00                   -------------------- 100,00
91         20         0          0          960        0              20         0,00                   -------------------- 100,00
92         20         0          0          960        0              20         0,00                   -------------------- 100,00
93         20         0          0          960        0              20         0,00                   -------------------- 100,00
94         20         0          0          960        0              20         0,00                   -------------------- 100,00
95         20         0          0          960        0              20         0,00                   -------------------- 100,00
96         20         0          0          960        0              20         0,00                   -------------------- 100,00
97         20         0          0          960        0              20         0,00                   -------------------- 100,00
98         20         0          0          960        0              20         0,00                   -------------------- 100,00
99         20         0          0          960        0              20         0,00                   -------------------- 100,00
100        20         0          0          960        0              20         0,00                   -------------------- 100,00
101        20         0          0          960        0              20         0,00                   -------------------- 100,00
