aggregate data per location for magnitude = 0.009
SERN
19 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        20         0          0          20         0          -------------------- 100,00
304        20         0          0          20         0          -------------------- 100,00
305        20         0          0          5138       50         -------------------- 100,00
306        20         0          0          5140       50         -------------------- 100,00
308        8          0          12         5120       50         -------- 40,00             
309        20         0          0          20         0          -------------------- 100,00
310        20         0          0          1980       17         -------------------- 100,00
312        7          13         0          1980       17         ------- 35,00              
313        20         0          0          0          0          -------------------- 100,00
314        20         0          0          0          0          -------------------- 100,00
316        20         0          0          0          0          -------------------- 100,00
317        9          0          11         1463       11         --------- 45,00            
318        20         0          0          20         0          -------------------- 100,00
319        20         0          0          20         0          -------------------- 100,00
320        20         0          0          5138       50         -------------------- 100,00
321        20         0          0          5140       50         -------------------- 100,00
323        8          12         0          5120       50         -------- 40,00             
325        7          13         0          1980       17         ------- 35,00              
327        20         0          0          20         0          -------------------- 100,00
