SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
aggregate data per location for magnitude = 0.9
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        0          1          0          262        235         0,00                      
304        0          0          1          1          1           0,00                      
305        1          0          0          92         86         -------------------- 100,00
306        1          0          0          89         83         -------------------- 100,00
307        1          0          0          95         89         -------------------- 100,00
308        1          0          0          89         83         -------------------- 100,00
309        1          0          0          95         89         -------------------- 100,00
310        1          0          0          92         86         -------------------- 100,00
311        1          0          0          92         86         -------------------- 100,00
312        0          0          1          334        298         0,00                      
313        1          0          0          326        292        -------------------- 100,00
314        1          0          0          740        663        -------------------- 100,00
316        0          0          1          536        478         0,00                      
317        1          0          0          420        377        -------------------- 100,00
318        0          0          1          1250       1118        0,00                      
320        0          0          1          1          1           0,00                      
321        1          0          0          1397       1245       -------------------- 100,00
322        1          0          0          471        423        -------------------- 100,00
324        1          0          0          477        428        -------------------- 100,00
325        0          1          0          171        154         0,00                      
327        0          0          1          80         75          0,00                      
328        0          0          1          159        144         0,00                      
329        0          1          0          74         69          0,00                      
330        1          0          0          105        98         -------------------- 100,00
332        0          1          0          34         32          0,00                      
333        1          0          0          49         47         -------------------- 100,00
334        0          1          0          77         72          0,00                      
335        1          0          0          132        121        -------------------- 100,00
337        0          1          0          35         33          0,00                      
338        0          0          1          39         37          0,00                      
339        0          0          1          179        159         0,00                      
340        0          1          0          182        161         0,00                      
341        0          1          0          167        150         0,00                      
342        0          0          1          45         43          0,00                      
343        0          0          1          40         38          0,00                      
344        0          0          1          149        135         0,00                      
345        0          1          0          182        161         0,00                      
