SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
aggregate data per location for magnitude = 0.05
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        1          0          0          91         6          -------------------- 100,00
304        0          0          1          47         2           0,00                      
305        1          0          0          89         6          -------------------- 100,00
306        1          0          0          89         6          -------------------- 100,00
307        1          0          0          89         6          -------------------- 100,00
308        1          0          0          89         6          -------------------- 100,00
309        1          0          0          89         6          -------------------- 100,00
310        1          0          0          89         6          -------------------- 100,00
311        1          0          0          89         6          -------------------- 100,00
312        1          0          0          94         6          -------------------- 100,00
313        1          0          0          303        15         -------------------- 100,00
314        1          0          0          307        15         -------------------- 100,00
316        0          1          0          409        19          0,00                      
317        1          0          0          420        19         -------------------- 100,00
318        1          0          0          426        19         -------------------- 100,00
320        0          1          0          495        24          0,00                      
321        1          0          0          482        23         -------------------- 100,00
322        1          0          0          471        22         -------------------- 100,00
324        1          0          0          214        10         -------------------- 100,00
325        1          0          0          212        10         -------------------- 100,00
327        0          1          0          178        9           0,00                      
328        0          1          0          180        9           0,00                      
329        1          0          0          90         6          -------------------- 100,00
330        1          0          0          94         6          -------------------- 100,00
332        1          0          0          45         1          -------------------- 100,00
333        1          0          0          45         1          -------------------- 100,00
334        1          0          0          89         6          -------------------- 100,00
335        1          0          0          91         6          -------------------- 100,00
337        1          0          0          44         0          -------------------- 100,00
338        1          0          0          44         0          -------------------- 100,00
339        0          1          0          182        9           0,00                      
340        0          1          0          182        9           0,00                      
341        0          1          0          178        9           0,00                      
342        0          1          0          185        9           0,00                      
343        0          1          0          182        9           0,00                      
344        0          1          0          185        9           0,00                      
345        0          1          0          182        9           0,00                      
