SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
37 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 23 as seed
aggregate data per location for magnitude = 0.09
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
303        0          1          0          92         12          0,00                      
304        0          0          1          47         5           0,00                      
305        1          0          0          89         12         -------------------- 100,00
306        1          0          0          89         12         -------------------- 100,00
307        1          0          0          92         12         -------------------- 100,00
308        1          0          0          89         12         -------------------- 100,00
309        1          0          0          91         12         -------------------- 100,00
310        1          0          0          89         12         -------------------- 100,00
311        1          0          0          89         12         -------------------- 100,00
312        1          0          0          94         12         -------------------- 100,00
313        1          0          0          303        34         -------------------- 100,00
314        1          0          0          312        34         -------------------- 100,00
316        0          0          1          351        38          0,00                      
317        1          0          0          420        42         -------------------- 100,00
318        1          0          0          434        43         -------------------- 100,00
320        0          1          0          501        51          0,00                      
321        1          0          0          470        47         -------------------- 100,00
322        1          0          0          471        47         -------------------- 100,00
324        1          0          0          216        22         -------------------- 100,00
325        0          1          0          209        22          0,00                      
327        0          1          0          189        21          0,00                      
328        0          1          0          187        20          0,00                      
329        0          1          0          89         12          0,00                      
330        1          0          0          94         12         -------------------- 100,00
332        1          0          0          44         3          -------------------- 100,00
333        1          0          0          45         4          -------------------- 100,00
334        1          0          0          89         12         -------------------- 100,00
335        1          0          0          96         12         -------------------- 100,00
337        0          1          0          43         3           0,00                      
338        1          0          0          43         3          -------------------- 100,00
339        0          1          0          187        20          0,00                      
340        0          1          0          182        20          0,00                      
341        0          1          0          184        20          0,00                      
342        0          0          1          143        17          0,00                      
343        0          1          0          181        20          0,00                      
344        0          0          1          137        16          0,00                      
345        0          1          0          182        20          0,00                      
