aggregate data per location for magnitude = 0.9
SERN
11 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
IndexLoc   #Success   #Failure   #Exception #Call      #Perturbation  #Task      AvgPerturbationPerTask %Success                   
517        0          0          20         150        136            20         6,80                    0,00                      
518        20         0          0          20047      18047          20         902,35                 -------------------- 100,00
519        20         0          0          90995      81993          20         4099,65                -------------------- 100,00
520        0          20         0          3897       3509           20         175,45                  0,00                      
521        20         0          0          90995      81993          20         4099,65                -------------------- 100,00
523        0          20         0          6696       6030           20         301,50                  0,00                      
524        20         0          0          8138       7320           20         366,00                 -------------------- 100,00
525        20         0          0          85154      76765          20         3838,25                -------------------- 100,00
526        0          20         0          2195       1973           20         98,65                   0,00                      
528        0          20         0          6138       5531           20         276,55                  0,00                      
529        0          20         0          2000       1796           20         89,80                   0,00                      
